annee;faits;codgeo;type_insecurite
20;290;56121;Autres coups et blessures volontaires
21;294;56121;Autres coups et blessures volontaires
18;194;56260;Autres coups et blessures volontaires
19;195;56260;Autres coups et blessures volontaires
20;176;56260;Autres coups et blessures volontaires
21;145;56260;Autres coups et blessures volontaires
18;488;57463;Autres coups et blessures volontaires
19;570;57463;Autres coups et blessures volontaires
20;562;57463;Autres coups et blessures volontaires
21;519;57463;Autres coups et blessures volontaires
18;156;59009;Autres coups et blessures volontaires
19;208;59009;Autres coups et blessures volontaires
20;141;59009;Autres coups et blessures volontaires
21;162;59009;Autres coups et blessures volontaires
18;382;59183;Autres coups et blessures volontaires
19;432;59183;Autres coups et blessures volontaires
20;368;59183;Autres coups et blessures volontaires
21;375;59183;Autres coups et blessures volontaires
18;1339;59350;Autres coups et blessures volontaires
19;1395;59350;Autres coups et blessures volontaires
20;1153;59350;Autres coups et blessures volontaires
21;1198;59350;Autres coups et blessures volontaires
18;494;59512;Autres coups et blessures volontaires
19;446;59512;Autres coups et blessures volontaires
20;335;59512;Autres coups et blessures volontaires
21;588;59512;Autres coups et blessures volontaires
18;280;59599;Autres coups et blessures volontaires
19;314;59599;Autres coups et blessures volontaires
20;313;59599;Autres coups et blessures volontaires
21;362;59599;Autres coups et blessures volontaires
18;204;60057;Autres coups et blessures volontaires
19;264;60057;Autres coups et blessures volontaires
20;215;60057;Autres coups et blessures volontaires
21;238;60057;Autres coups et blessures volontaires
18;345;62193;Autres coups et blessures volontaires
19;383;62193;Autres coups et blessures volontaires
20;356;62193;Autres coups et blessures volontaires
21;345;62193;Autres coups et blessures volontaires
18;467;63113;Autres coups et blessures volontaires
19;450;63113;Autres coups et blessures volontaires
20;436;63113;Autres coups et blessures volontaires
21;589;63113;Autres coups et blessures volontaires
18;283;64445;Autres coups et blessures volontaires
19;269;64445;Autres coups et blessures volontaires
20;231;64445;Autres coups et blessures volontaires
21;260;64445;Autres coups et blessures volontaires
18;627;66136;Autres coups et blessures volontaires
19;643;66136;Autres coups et blessures volontaires
20;637;66136;Autres coups et blessures volontaires
21;724;66136;Autres coups et blessures volontaires
18;1115;67482;Autres coups et blessures volontaires
19;1100;67482;Autres coups et blessures volontaires
20;1002;67482;Autres coups et blessures volontaires
21;1081;67482;Autres coups et blessures volontaires
18;257;68066;Autres coups et blessures volontaires
19;278;68066;Autres coups et blessures volontaires
20;231;68066;Autres coups et blessures volontaires
21;247;68066;Autres coups et blessures volontaires
18;510;68224;Autres coups et blessures volontaires
19;660;68224;Autres coups et blessures volontaires
20;694;68224;Autres coups et blessures volontaires
21;606;68224;Autres coups et blessures volontaires
18;2070;69123;Autres coups et blessures volontaires
19;2195;69123;Autres coups et blessures volontaires
20;2004;69123;Autres coups et blessures volontaires
21;2165;69123;Autres coups et blessures volontaires
18;224;69259;Autres coups et blessures volontaires
19;229;69259;Autres coups et blessures volontaires
20;250;69259;Autres coups et blessures volontaires
21;329;69259;Autres coups et blessures volontaires
18;392;69266;Autres coups et blessures volontaires
19;478;69266;Autres coups et blessures volontaires
20;439;69266;Autres coups et blessures volontaires
21;518;69266;Autres coups et blessures volontaires
18;485;72181;Autres coups et blessures volontaires
19;571;72181;Autres coups et blessures volontaires
20;461;72181;Autres coups et blessures volontaires
21;521;72181;Autres coups et blessures volontaires
18;258;73065;Autres coups et blessures volontaires
19;247;73065;Autres coups et blessures volontaires
20;223;73065;Autres coups et blessures volontaires
21;234;73065;Autres coups et blessures volontaires
18;306;74010;Autres coups et blessures volontaires
19;319;74010;Autres coups et blessures volontaires
20;291;74010;Autres coups et blessures volontaires
21;332;74010;Autres coups et blessures volontaires
18;8421;75056;Autres coups et blessures volontaires
19;8965;75056;Autres coups et blessures volontaires
20;7451;75056;Autres coups et blessures volontaires
21;8566;75056;Autres coups et blessures volontaires
18;533;76351;Autres coups et blessures volontaires
19;494;76351;Autres coups et blessures volontaires
20;483;76351;Autres coups et blessures volontaires
21;573;76351;Autres coups et blessures volontaires
18;588;76540;Autres coups et blessures volontaires
19;643;76540;Autres coups et blessures volontaires
20;434;76540;Autres coups et blessures volontaires
21;516;76540;Autres coups et blessures volontaires
18;89;78586;Autres coups et blessures volontaires
19;93;78586;Autres coups et blessures volontaires
20;81;78586;Autres coups et blessures volontaires
21;96;78586;Autres coups et blessures volontaires
18;178;78646;Autres coups et blessures volontaires
19;165;78646;Autres coups et blessures volontaires
20;171;78646;Autres coups et blessures volontaires
21;148;78646;Autres coups et blessures volontaires
18;118;79191;Autres coups et blessures volontaires
19;134;79191;Autres coups et blessures volontaires
20;140;79191;Autres coups et blessures volontaires
21;156;79191;Autres coups et blessures volontaires
18;691;80021;Autres coups et blessures volontaires
19;581;80021;Autres coups et blessures volontaires
20;490;80021;Autres coups et blessures volontaires
21;584;80021;Autres coups et blessures volontaires
18;235;82121;Autres coups et blessures volontaires
19;206;82121;Autres coups et blessures volontaires
20;181;82121;Autres coups et blessures volontaires
21;163;82121;Autres coups et blessures volontaires
18;137;83069;Autres coups et blessures volontaires
19;145;83069;Autres coups et blessures volontaires
20;160;83069;Autres coups et blessures volontaires
21;141;83069;Autres coups et blessures volontaires
18;170;83126;Autres coups et blessures volontaires
19;170;83126;Autres coups et blessures volontaires
20;158;83126;Autres coups et blessures volontaires
21;192;83126;Autres coups et blessures volontaires
18;728;83137;Autres coups et blessures volontaires
19;721;83137;Autres coups et blessures volontaires
20;737;83137;Autres coups et blessures volontaires
21;687;83137;Autres coups et blessures volontaires
18;450;84007;Autres coups et blessures volontaires
19;513;84007;Autres coups et blessures volontaires
20;404;84007;Autres coups et blessures volontaires
21;502;84007;Autres coups et blessures volontaires
18;303;86194;Autres coups et blessures volontaires
19;318;86194;Autres coups et blessures volontaires
20;302;86194;Autres coups et blessures volontaires
21;304;86194;Autres coups et blessures volontaires
18;365;87085;Autres coups et blessures volontaires
19;381;87085;Autres coups et blessures volontaires
20;335;87085;Autres coups et blessures volontaires
21;437;87085;Autres coups et blessures volontaires
18;106;92002;Autres coups et blessures volontaires
19;110;92002;Autres coups et blessures volontaires
20;88;92002;Autres coups et blessures volontaires
21;84;92002;Autres coups et blessures volontaires
18;178;92004;Autres coups et blessures volontaires
19;154;92004;Autres coups et blessures volontaires
20;188;92004;Autres coups et blessures volontaires
21;185;92004;Autres coups et blessures volontaires
18;137;92012;Autres coups et blessures volontaires
19;154;92012;Autres coups et blessures volontaires
20;184;92012;Autres coups et blessures volontaires
21;178;92012;Autres coups et blessures volontaires
18;174;92024;Autres coups et blessures volontaires
19;161;92024;Autres coups et blessures volontaires
20;200;92024;Autres coups et blessures volontaires
21;196;92024;Autres coups et blessures volontaires
18;178;92025;Autres coups et blessures volontaires
19;146;92025;Autres coups et blessures volontaires
20;190;92025;Autres coups et blessures volontaires
21;171;92025;Autres coups et blessures volontaires
18;124;92026;Autres coups et blessures volontaires
19;149;92026;Autres coups et blessures volontaires
20;160;92026;Autres coups et blessures volontaires
21;133;92026;Autres coups et blessures volontaires
18;70;92040;Autres coups et blessures volontaires
19;62;92040;Autres coups et blessures volontaires
20;61;92040;Autres coups et blessures volontaires
21;87;92040;Autres coups et blessures volontaires
18;94;92044;Autres coups et blessures volontaires
19;119;92044;Autres coups et blessures volontaires
20;155;92044;Autres coups et blessures volontaires
21;147;92044;Autres coups et blessures volontaires
18;320;92050;Autres coups et blessures volontaires
19;318;92050;Autres coups et blessures volontaires
20;228;92050;Autres coups et blessures volontaires
21;307;92050;Autres coups et blessures volontaires
18;67;92051;Autres coups et blessures volontaires
19;94;92051;Autres coups et blessures volontaires
20;87;92051;Autres coups et blessures volontaires
21;162;92051;Autres coups et blessures volontaires
18;80;92063;Autres coups et blessures volontaires
19;130;92063;Autres coups et blessures volontaires
20;115;92063;Autres coups et blessures volontaires
21;136;92063;Autres coups et blessures volontaires
18;368;93001;Autres coups et blessures volontaires
19;415;93001;Autres coups et blessures volontaires
20;422;93001;Autres coups et blessures volontaires
21;393;93001;Autres coups et blessures volontaires
18;273;93005;Autres coups et blessures volontaires
19;272;93005;Autres coups et blessures volontaires
20;243;93005;Autres coups et blessures volontaires
21;282;93005;Autres coups et blessures volontaires
18;217;93029;Autres coups et blessures volontaires
19;191;93029;Autres coups et blessures volontaires
20;187;93029;Autres coups et blessures volontaires
21;232;93029;Autres coups et blessures volontaires
18;378;93048;Autres coups et blessures volontaires
19;313;93048;Autres coups et blessures volontaires
20;315;93048;Autres coups et blessures volontaires
21;377;93048;Autres coups et blessures volontaires
18;134;93051;Autres coups et blessures volontaires
19;120;93051;Autres coups et blessures volontaires
20;143;93051;Autres coups et blessures volontaires
21;164;93051;Autres coups et blessures volontaires
18;752;93066;Autres coups et blessures volontaires
19;750;93066;Autres coups et blessures volontaires
20;731;93066;Autres coups et blessures volontaires
21;756;93066;Autres coups et blessures volontaires
18;151;94017;Autres coups et blessures volontaires
19;167;94017;Autres coups et blessures volontaires
20;151;94017;Autres coups et blessures volontaires
21;167;94017;Autres coups et blessures volontaires
18;239;94028;Autres coups et blessures volontaires
19;251;94028;Autres coups et blessures volontaires
20;231;94028;Autres coups et blessures volontaires
21;253;94028;Autres coups et blessures volontaires
18;103;94033;Autres coups et blessures volontaires
19;129;94033;Autres coups et blessures volontaires
20;108;94033;Autres coups et blessures volontaires
21;101;94033;Autres coups et blessures volontaires
18;175;94041;Autres coups et blessures volontaires
19;159;94041;Autres coups et blessures volontaires
20;174;94041;Autres coups et blessures volontaires
21;261;94041;Autres coups et blessures volontaires
18;78;94046;Autres coups et blessures volontaires
19;85;94046;Autres coups et blessures volontaires
20;103;94046;Autres coups et blessures volontaires
21;111;94046;Autres coups et blessures volontaires
18;146;94068;Autres coups et blessures volontaires
19;137;94068;Autres coups et blessures volontaires
20;136;94068;Autres coups et blessures volontaires
21;163;94068;Autres coups et blessures volontaires
18;210;94081;Autres coups et blessures volontaires
19;220;94081;Autres coups et blessures volontaires
20;216;94081;Autres coups et blessures volontaires
21;258;94081;Autres coups et blessures volontaires
18;280;95018;Autres coups et blessures volontaires
19;297;95018;Autres coups et blessures volontaires
20;311;95018;Autres coups et blessures volontaires
21;293;95018;Autres coups et blessures volontaires
18;174;95127;Autres coups et blessures volontaires
19;182;95127;Autres coups et blessures volontaires
20;177;95127;Autres coups et blessures volontaires
21;151;95127;Autres coups et blessures volontaires
18;169;95585;Autres coups et blessures volontaires
19;197;95585;Autres coups et blessures volontaires
20;211;95585;Autres coups et blessures volontaires
21;175;95585;Autres coups et blessures volontaires
18;282;2691;Cambriolages de logement
19;316;2691;Cambriolages de logement
20;172;2691;Cambriolages de logement
21;142;2691;Cambriolages de logement
18;442;6004;Cambriolages de logement
19;454;6004;Cambriolages de logement
20;340;6004;Cambriolages de logement
21;306;6004;Cambriolages de logement
18;472;6029;Cambriolages de logement
19;426;6029;Cambriolages de logement
20;269;6029;Cambriolages de logement
21;305;6029;Cambriolages de logement
18;2474;6088;Cambriolages de logement
19;2225;6088;Cambriolages de logement
20;1423;6088;Cambriolages de logement
21;1602;6088;Cambriolages de logement
18;246;10387;Cambriolages de logement
19;222;10387;Cambriolages de logement
20;183;10387;Cambriolages de logement
21;152;10387;Cambriolages de logement
18;1132;13001;Cambriolages de logement
19;1480;13001;Cambriolages de logement
20;1056;13001;Cambriolages de logement
21;1162;13001;Cambriolages de logement
18;263;13004;Cambriolages de logement
19;261;13004;Cambriolages de logement
20;303;13004;Cambriolages de logement
21;283;13004;Cambriolages de logement
18;5589;13055;Cambriolages de logement
19;5498;13055;Cambriolages de logement
20;4909;13055;Cambriolages de logement
21;5348;13055;Cambriolages de logement
18;393;14118;Cambriolages de logement
19;291;14118;Cambriolages de logement
20;253;14118;Cambriolages de logement
21;159;14118;Cambriolages de logement
18;241;17300;Cambriolages de logement
19;276;17300;Cambriolages de logement
20;288;17300;Cambriolages de logement
21;195;17300;Cambriolages de logement
18;270;18033;Cambriolages de logement
19;273;18033;Cambriolages de logement
20;193;18033;Cambriolages de logement
21;154;18033;Cambriolages de logement
18;428;21231;Cambriolages de logement
19;464;21231;Cambriolages de logement
20;403;21231;Cambriolages de logement
21;281;21231;Cambriolages de logement
18;416;25056;Cambriolages de logement
19;312;25056;Cambriolages de logement
20;247;25056;Cambriolages de logement
21;242;25056;Cambriolages de logement
18;273;26362;Cambriolages de logement
19;284;26362;Cambriolages de logement
20;276;26362;Cambriolages de logement
21;406;26362;Cambriolages de logement
18;438;29019;Cambriolages de logement
19;256;29019;Cambriolages de logement
20;230;29019;Cambriolages de logement
21;264;29019;Cambriolages de logement
18;118;29232;Cambriolages de logement
19;119;29232;Cambriolages de logement
20;87;29232;Cambriolages de logement
21;67;29232;Cambriolages de logement
18;52;2A004;Cambriolages de logement
19;44;2A004;Cambriolages de logement
20;48;2A004;Cambriolages de logement
21;34;2A004;Cambriolages de logement
18;694;30189;Cambriolages de logement
19;748;30189;Cambriolages de logement
20;635;30189;Cambriolages de logement
21;610;30189;Cambriolages de logement
18;3898;31555;Cambriolages de logement
19;3696;31555;Cambriolages de logement
20;3436;31555;Cambriolages de logement
21;2956;31555;Cambriolages de logement
18;1213;33063;Cambriolages de logement
19;1505;33063;Cambriolages de logement
20;1983;33063;Cambriolages de logement
21;1840;33063;Cambriolages de logement
18;366;33281;Cambriolages de logement
19;327;33281;Cambriolages de logement
20;425;33281;Cambriolages de logement
21;411;33281;Cambriolages de logement
18;295;33318;Cambriolages de logement
19;357;33318;Cambriolages de logement
20;457;33318;Cambriolages de logement
21;387;33318;Cambriolages de logement
18;295;34032;Cambriolages de logement
19;331;34032;Cambriolages de logement
20;333;34032;Cambriolages de logement
21;319;34032;Cambriolages de logement
18;1669;34172;Cambriolages de logement
19;2048;34172;Cambriolages de logement
20;1685;34172;Cambriolages de logement
21;1535;34172;Cambriolages de logement
18;555;35238;Cambriolages de logement
19;472;35238;Cambriolages de logement
20;400;35238;Cambriolages de logement
21;406;35238;Cambriolages de logement
18;483;37261;Cambriolages de logement
19;358;37261;Cambriolages de logement
20;490;37261;Cambriolages de logement
21;478;37261;Cambriolages de logement
18;1006;38185;Cambriolages de logement
19;880;38185;Cambriolages de logement
20;744;38185;Cambriolages de logement
21;736;38185;Cambriolages de logement
18;589;42218;Cambriolages de logement
19;586;42218;Cambriolages de logement
20;472;42218;Cambriolages de logement
21;408;42218;Cambriolages de logement
18;1726;44109;Cambriolages de logement
19;1961;44109;Cambriolages de logement
20;1852;44109;Cambriolages de logement
21;1391;44109;Cambriolages de logement
18;317;44184;Cambriolages de logement
19;277;44184;Cambriolages de logement
20;307;44184;Cambriolages de logement
21;392;44184;Cambriolages de logement
18;482;45234;Cambriolages de logement
19;375;45234;Cambriolages de logement
20;223;45234;Cambriolages de logement
21;221;45234;Cambriolages de logement
18;448;49007;Cambriolages de logement
19;369;49007;Cambriolages de logement
20;234;49007;Cambriolages de logement
21;225;49007;Cambriolages de logement
18;158;49099;Cambriolages de logement
19;118;49099;Cambriolages de logement
20;95;49099;Cambriolages de logement
21;130;49099;Cambriolages de logement
18;484;51454;Cambriolages de logement
19;494;51454;Cambriolages de logement
20;288;51454;Cambriolages de logement
21;351;51454;Cambriolages de logement
18;158;54395;Cambriolages de logement
19;210;54395;Cambriolages de logement
20;163;54395;Cambriolages de logement
21;154;54395;Cambriolages de logement
18;104;56121;Cambriolages de logement
19;151;56121;Cambriolages de logement
20;152;56121;Cambriolages de logement
21;146;56121;Cambriolages de logement
18;131;56260;Cambriolages de logement
19;99;56260;Cambriolages de logement
20;33;56260;Cambriolages de logement
21;93;56260;Cambriolages de logement
18;327;57463;Cambriolages de logement
19;382;57463;Cambriolages de logement
20;254;57463;Cambriolages de logement
21;224;57463;Cambriolages de logement
18;318;59009;Cambriolages de logement
19;455;59009;Cambriolages de logement
20;296;59009;Cambriolages de logement
21;298;59009;Cambriolages de logement
18;349;59183;Cambriolages de logement
19;440;59183;Cambriolages de logement
20;266;59183;Cambriolages de logement
21;279;59183;Cambriolages de logement
18;1469;59350;Cambriolages de logement
19;1685;59350;Cambriolages de logement
20;1464;59350;Cambriolages de logement
21;1273;59350;Cambriolages de logement
18;345;59512;Cambriolages de logement
19;484;59512;Cambriolages de logement
20;405;59512;Cambriolages de logement
21;518;59512;Cambriolages de logement
18;342;59599;Cambriolages de logement
19;395;59599;Cambriolages de logement
20;318;59599;Cambriolages de logement
21;305;59599;Cambriolages de logement
18;156;60057;Cambriolages de logement
19;191;60057;Cambriolages de logement
20;134;60057;Cambriolages de logement
21;99;60057;Cambriolages de logement
18;133;62193;Cambriolages de logement
19;125;62193;Cambriolages de logement
20;155;62193;Cambriolages de logement
21;135;62193;Cambriolages de logement
18;537;63113;Cambriolages de logement
19;578;63113;Cambriolages de logement
20;405;63113;Cambriolages de logement
21;578;63113;Cambriolages de logement
18;299;64445;Cambriolages de logement
19;226;64445;Cambriolages de logement
20;259;64445;Cambriolages de logement
21;251;64445;Cambriolages de logement
18;735;66136;Cambriolages de logement
19;582;66136;Cambriolages de logement
20;760;66136;Cambriolages de logement
21;571;66136;Cambriolages de logement
18;718;67482;Cambriolages de logement
19;536;67482;Cambriolages de logement
20;452;67482;Cambriolages de logement
21;471;67482;Cambriolages de logement
18;139;68066;Cambriolages de logement
19;132;68066;Cambriolages de logement
20;78;68066;Cambriolages de logement
21;90;68066;Cambriolages de logement
18;338;68224;Cambriolages de logement
19;321;68224;Cambriolages de logement
20;223;68224;Cambriolages de logement
21;229;68224;Cambriolages de logement
18;3319;69123;Cambriolages de logement
19;3084;69123;Cambriolages de logement
20;2360;69123;Cambriolages de logement
21;2485;69123;Cambriolages de logement
18;225;69259;Cambriolages de logement
19;221;69259;Cambriolages de logement
20;159;69259;Cambriolages de logement
21;228;69259;Cambriolages de logement
18;621;69266;Cambriolages de logement
19;770;69266;Cambriolages de logement
20;566;69266;Cambriolages de logement
21;703;69266;Cambriolages de logement
18;517;72181;Cambriolages de logement
19;494;72181;Cambriolages de logement
20;455;72181;Cambriolages de logement
21;459;72181;Cambriolages de logement
18;170;73065;Cambriolages de logement
19;115;73065;Cambriolages de logement
20;128;73065;Cambriolages de logement
21;104;73065;Cambriolages de logement
18;358;74010;Cambriolages de logement
19;463;74010;Cambriolages de logement
20;385;74010;Cambriolages de logement
21;302;74010;Cambriolages de logement
18;12113;75056;Cambriolages de logement
19;12658;75056;Cambriolages de logement
20;9748;75056;Cambriolages de logement
21;9668;75056;Cambriolages de logement
18;609;76351;Cambriolages de logement
19;524;76351;Cambriolages de logement
20;474;76351;Cambriolages de logement
21;364;76351;Cambriolages de logement
18;433;76540;Cambriolages de logement
19;464;76540;Cambriolages de logement
20;289;76540;Cambriolages de logement
21;301;76540;Cambriolages de logement
18;115;78586;Cambriolages de logement
19;134;78586;Cambriolages de logement
20;152;78586;Cambriolages de logement
21;107;78586;Cambriolages de logement
18;181;78646;Cambriolages de logement
19;265;78646;Cambriolages de logement
20;182;78646;Cambriolages de logement
21;189;78646;Cambriolages de logement
18;190;79191;Cambriolages de logement
19;224;79191;Cambriolages de logement
20;184;79191;Cambriolages de logement
21;192;79191;Cambriolages de logement
18;389;80021;Cambriolages de logement
19;486;80021;Cambriolages de logement
20;326;80021;Cambriolages de logement
21;290;80021;Cambriolages de logement
18;271;82121;Cambriolages de logement
19;210;82121;Cambriolages de logement
20;211;82121;Cambriolages de logement
21;180;82121;Cambriolages de logement
18;215;83069;Cambriolages de logement
19;237;83069;Cambriolages de logement
20;138;83069;Cambriolages de logement
21;148;83069;Cambriolages de logement
18;200;83126;Cambriolages de logement
19;189;83126;Cambriolages de logement
20;134;83126;Cambriolages de logement
21;152;83126;Cambriolages de logement
18;1208;83137;Cambriolages de logement
19;1048;83137;Cambriolages de logement
20;674;83137;Cambriolages de logement
21;747;83137;Cambriolages de logement
18;453;84007;Cambriolages de logement
19;480;84007;Cambriolages de logement
20;592;84007;Cambriolages de logement
21;682;84007;Cambriolages de logement
18;257;86194;Cambriolages de logement
19;193;86194;Cambriolages de logement
20;179;86194;Cambriolages de logement
21;199;86194;Cambriolages de logement
18;386;87085;Cambriolages de logement
19;342;87085;Cambriolages de logement
20;257;87085;Cambriolages de logement
21;391;87085;Cambriolages de logement
18;257;92002;Cambriolages de logement
19;208;92002;Cambriolages de logement
20;170;92002;Cambriolages de logement
21;197;92002;Cambriolages de logement
18;268;92004;Cambriolages de logement
19;273;92004;Cambriolages de logement
20;246;92004;Cambriolages de logement
21;206;92004;Cambriolages de logement
18;293;92012;Cambriolages de logement
19;316;92012;Cambriolages de logement
20;284;92012;Cambriolages de logement
21;291;92012;Cambriolages de logement
18;190;92024;Cambriolages de logement
19;172;92024;Cambriolages de logement
20;127;92024;Cambriolages de logement
21;121;92024;Cambriolages de logement
18;271;92025;Cambriolages de logement
19;329;92025;Cambriolages de logement
20;331;92025;Cambriolages de logement
21;245;92025;Cambriolages de logement
18;240;92026;Cambriolages de logement
19;219;92026;Cambriolages de logement
20;186;92026;Cambriolages de logement
21;148;92026;Cambriolages de logement
18;176;92040;Cambriolages de logement
19;169;92040;Cambriolages de logement
20;184;92040;Cambriolages de logement
21;175;92040;Cambriolages de logement
18;237;92044;Cambriolages de logement
19;253;92044;Cambriolages de logement
20;218;92044;Cambriolages de logement
21;176;92044;Cambriolages de logement
18;204;92050;Cambriolages de logement
19;270;92050;Cambriolages de logement
20;179;92050;Cambriolages de logement
21;239;92050;Cambriolages de logement
18;294;92051;Cambriolages de logement
19;392;92051;Cambriolages de logement
20;300;92051;Cambriolages de logement
21;267;92051;Cambriolages de logement
18;223;92063;Cambriolages de logement
19;302;92063;Cambriolages de logement
20;246;92063;Cambriolages de logement
21;271;92063;Cambriolages de logement
18;470;93001;Cambriolages de logement
19;411;93001;Cambriolages de logement
20;361;93001;Cambriolages de logement
